date,time,windForce,tem,temQC,rain,rainQC,windSpeed,windSpeedQC,windDirection,windDirectionQC,snow,snow3Hour,cloud,middleCloud,clodeUn,highCloud
2013-01-01,0:00,0,1.3,0,0,9,3.2,0,340,0,0,0,3,3,Sc,10
2013-01-01,1:00,0,0.9,0,0,0,2.6,0,320,0,0,0,0,0,0,0
2013-01-01,2:00,92,1.5,0,0,0,3,0,340,0,0,0,0,0,0,0
2013-01-01,3:00,269,2.7,0,0,0,1.7,0,270,0,0,0,9,9,Sc,10
2013-01-01,4:00,541,0.6,0,0,9,1.8,0,320,0,0,0,3,3,Sc,10
2013-01-01,5:00,945,2.9,0,0,9,3.6,0,290,0,0,0,3,3,Sc,10
2013-01-01,6:00,699,3.7,0,0,9,3.5,0,290,0,0,0,4,4,Sc,10
2013-01-01,7:00,1371,3.8,0,0,9,3.6,0,290,0,0,0,4,4,Sc,10
2013-01-01,8:00,1974,4.9,0,0,9,3.4,0,290,0,0,0,7,7,Sc,10
2013-01-01,9:00,1425,5.2,0,0,9,3.5,0,270,0,0,0,4,4,Sc,10
2013-01-01,10:00,2013,6.9,0,0,9,2.9,0,270,0,0,0,4,4,Sc,10
2013-01-01,11:00,4070,6.9,0,0,9,4.9,0,290,0,0,0,4,4,Sc,10
2013-01-01,12:00,6534,9,0,0,9,1.5,0,360,0,0,0,5,5,Sc,10
2013-01-01,13:00,5225,8.6,0,0,9,5.4,0,320,0,0,0,5,5,Sc,10
2013-01-01,14:00,3900,9.3,0,0,9,4.5,0,290,0,0,0,6,6,Sc,10
2013-01-01,15:00,4585,8.7,0,0,9,5.8,0,320,0,0,0,4,4,Sc,10
2013-01-01,16:00,1187,8.6,0,0,9,3.8,0,320,0,0,0,3,3,Sc,10
2013-01-01,17:00,1349,7.8,0,0,9,2.9,0,320,0,0,0,4,4,Sc,10
2013-01-01,18:00,1832,5.9,0,0,9,1.2,0,270,0,0,0,3,3,Sc,10
2013-01-01,19:00,1575,1.5,0,0,9,1.2,0,290,0,0,0,0,0,0,0
2013-01-01,20:00,2252,2,0,0,9,1.7,0,270,0,0,0,0,0,0,0
2013-01-01,21:00,3168,5.4,0,0,9,2.3,0,290,0,0,0,5,5,Sc,10
2013-01-01,22:00,2916,5.5,0,0,9,1.8,0,290,0,0,0,0,0,0,0
2013-01-01,23:00,3809,5.4,0,0,9,2.5,0,290,0,0,0,0,0,0,0
2013-01-02,0:00,3031,4.4,0,0,9,1.9,0,290,0,0,0,2,2,Sc,10
2013-01-02,1:00,3051,5.2,0,0,0,2.1,0,290,0,0,0,0,0,0,0
2013-01-02,2:00,3173,5.1,0,0,0,2.1,0,290,0,0,0,0,0,0,0
