지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
188,2018-01-01 00:00,6,,1.7,290,60,5.6,-1.1,1022.9,1025.1,,,,,,,,,1119,,,3.9,,,,
188,2018-01-01 01:00,5.9,,1.2,320,59,5.5,-1.5,1023,1025.2,,,,,,,,,1050,,,3.7,,,,
188,2018-01-01 02:00,5.8,,1.5,320,62,5.7,-.9,1023,1025.2,,,,,,,,,1067,,,3.9,,,,
188,2018-01-01 03:00,5.6,,2.7,360,61,5.6,-1.3,1023.3,1025.5,,,,,,,,,1245,,,3.6,,,,
188,2018-01-01 04:00,5.3,,2.3,360,60,5.4,-1.8,1023,1025.2,,,,,,,,,1266,,,3.1,,,,
188,2018-01-01 05:00,5.4,,2,340,59,5.3,-1.9,1023.6,1025.8,,,,,,,,,1390,,,3.3,,,,
188,2018-01-01 06:00,4.5,,1.5,340,56,4.7,-3.5,1023.6,1025.8,,,,,,,,,1912,,,2,,,,
188,2018-01-01 07:00,4.6,,2.4,340,53,4.5,-4.1,1024.7,1026.9,,,,,,,,,2000,,,1.8,,,,
188,2018-01-01 08:00,4.1,,1,290,53,4.3,-4.6,1025.3,1027.5,0,,,,,,,,2000,,,1.6,,,,
188,2018-01-01 09:00,5.5,,2.1,340,47,4.2,-4.9,1026.1,1028.3,.8,,,,,,,,2000,,,1.9,,,,
188,2018-01-01 10:00,6.5,,3.2,340,43,4.2,-5.2,1026.6,1028.8,1,,,,,,,,2000,,,4.6,,,,
