"년월일","호기","총량","평균","최대","최소","최대(시간별)","최소(시간별)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2013-01-01","1","51731.00","2155.00","6534.00","0","6534.00","92","0","0","92","269","541","945","699","1371.00","1974.00","1425.00","2013.00","4070.00","6534.00","5225.00","3900.00","4585.00","1187.00","1349.00","1832.00","1575.00","2252.00","3168.00","2916.00","3809.00"
"2013-01-01","2","37456.00","1561.00","4552.00","0","4552.00","20","0","0","20","312","332","524","560","1015.00","1505.00","968","1840.00","3488.00","4552.00","3791.00","3168.00","3673.00","892","698","1098.00","923","1398.00","2159.00","1907.00","2633.00"
"2013-01-02","1","118126.00","4922.00","11440.00","1935.00","11440.00","1935.00","3031.00","3051.00","3173.00","4196.00","5429.00","7473.00","4464.00","2120.00","1935.00","2798.00","2561.00","4306.00","7820.00","11440.00","10378.00","8390.00","5338.00","4542.00","3169.00","2493.00","5042.00","4481.00","4859.00","5637.00"
"2013-01-02","2","88146.00","3673.00","7773.00","1512.00","7773.00","1512.00","2680.00","2841.00","3111.00","3747.00","4608.00","5790.00","3801.00","1991.00","1512.00","1818.00","1538.00","2915.00","5407.00","7773.00","7102.00","6069.00","4493.00","3382.00","2488.00","1830.00","3487.00","2950.00","3055.00","3758.00"
"2013-01-03","1","242471.00","10103.00","11688.00","5741.00","11688.00","5741.00","5741.00","8666.00","10320.00","10799.00","8959.00","9078.00","10585.00","8188.00","8642.00","10433.00","11468.00","10237.00","10014.00","11225.00","11611.00","11277.00","10621.00","11688.00","11052.00","9711.00","10546.00","10707.00","10844.00","10059.00"
"2013-01-03","2","154461.00","6436.00","7747.00","3914.00","7747.00","3914.00","3914.00","4494.00","5003.00","7044.00","6071.00","5933.00","6604.00","5342.00","5699.00","7107.00","7747.00","6598.00","6683.00","7587.00","7701.00","7390.00","6011.00","5897.00","7419.00","6587.00","6977.00","6992.00","7145.00","6516.00"
"2013-01-04","1","176823.00","7368.00","10800.00","4135.00","10800.00","4135.00","8300.00","8573.00","8584.00","7192.00","7834.00","7959.00","8930.00","8961.00","10024.00","10800.00","9647.00","7460.00","7487.00","8500.00","5954.00","5943.00","4836.00","4135.00","4418.00","5109.00","5404.00","6751.00","6872.00","7150.00"
"2013-01-04","2","127391.00","5308.00","7576.00","3390.00","7576.00","3390.00","5428.00","5659.00","4878.00","4803.00","4991.00","5014.00","5695.00","6174.00","7448.00","7576.00","7133.00","5886.00","5498.00","5532.00","4342.00","3865.00","3883.00","3390.00","3744.00","4396.00","4396.00","5833.00","5731.00","6096.00"
"2013-01-05","1","176491.00","7354.00","10876.00","2274.00","10876.00","2274.00","7822.00","8462.00","8129.00","9295.00","10876.00","10816.00","10215.00","10735.00","10172.00","9078.00","8765.00","8742.00","7159.00","6572.00","5571.00","6104.00","7613.00","5694.00","4451.00","5707.00","4408.00","4604.00","3227.00","2274.00"
"2013-01-05","2","125139.00","5214.00","7645.00","1416.00","7645.00","1416.00","6413.00","6839.00","6894.00","7135.00","7645.00","7015.00","6383.00","7084.00","6420.00","6056.00","6430.00","5538.00","5168.00","4419.00","3881.00","4661.00","5877.00","4220.00","3895.00","3723.00","2972.00","3026.00","2029.00","1416.00"
